name,k,ILSc,ILSt,BNCc,BNCt,Gap
brd14051,1,419642.71,0.1,419642.71,1383.56,0.0
brd14051,2,227806.08,0.13,227806.08,838.52,0.0
brd14051,4,148144.45,0.2,148144.45,77.63,0.0
brd14051,6,128612.04,0.23,128612.04,2.03,0.0
brd14051,8,121198.56,0.26,121198.56,1.41,0.0
brd14051,10,117071.25,0.28,117071.25,0.73,0.0
brd14051,12,114941.57,0.26,114941.57,0.58,0.0
brd14051,14,113673.76,0.24,113673.76,0.42,0.0
brd14051,16,113063.7,0.31,113063.7,0.73,0.0
d15112,1,1207444.97,0.1,1207444.97,83.24,0.0
d15112,2,643199.72,0.15,643199.72,3600.26,1.6230000000000002
d15112,4,373309.14,0.21,373309.14,207.62,0.0
d15112,6,295083.88,0.24,295083.88,0.82,0.0
d15112,8,282483.24,0.23,282483.24,1.15,0.0
d15112,10,273430.0,0.22,273430.0,0.65,0.0
d15112,12,268545.84,0.21,268545.84,0.43,0.0
d15112,14,266214.83,0.19,266214.83,0.37,0.0
d15112,16,264453.79,0.19,264453.79,0.45,0.0
d18512,1,411184.5,0.09,411184.5,3420.26,0.0
d18512,2,206846.55,0.13,206846.55,1124.76,0.0
d18512,4,128157.48,0.18,128157.48,106.32,0.0
d18512,6,103399.26,0.23,103399.26,2.29,0.0
d18512,8,92625.77,0.28,92625.77,0.86,0.0
d18512,10,88355.79,0.3,88355.79,0.55,0.0
d18512,12,86313.25,0.27,86313.25,0.43,0.0
d18512,14,85525.65,0.21,85525.65,0.37,0.0
d18512,16,85213.36,0.2,85213.36,0.44,0.0
fnl4461,1,282614.08,0.1,282614.08,3526.43,0.0
fnl4461,2,137350.0,0.15,137350.0,26.24,0.0
fnl4461,4,84454.33,0.2,84454.33,2.63,0.0
fnl4461,6,71654.84,0.24,71654.84,4.37,0.0
fnl4461,8,65902.45,0.29,65902.45,0.63,0.0
fnl4461,10,64476.7,0.27,64476.7,0.61,0.0
fnl4461,12,63254.17,0.25,63254.17,0.49,0.0
fnl4461,14,62485.3,0.21,62485.3,0.41,0.0
fnl4461,16,62058.6,0.18,62058.6,0.38,0.0
nrw1379,1,145913.35,0.09,145913.35,92.9,0.0
nrw1379,2,78212.11,0.12,78212.11,157.19,0.0
nrw1379,4,52423.33,0.21,52423.33,2352.6,0.0
nrw1379,6,42337.98,0.24,42337.98,52.8,0.0
nrw1379,8,38436.64,0.3,38436.64,2.06,0.0
nrw1379,10,36528.12,0.31,36528.12,0.61,0.0
nrw1379,12,35973.53,0.3,35973.53,0.6,0.0
nrw1379,14,35706.63,0.27,35706.63,0.67,0.0
nrw1379,16,35547.23,0.21,35547.23,0.4,0.0
pr1002,1,974107.05,0.17,974107.05,3579.22,0.0
pr1002,2,513293.53,0.13,513293.53,3600.29,3.0
pr1002,4,289391.41,0.18,289391.41,654.72,0.0
pr1002,6,218918.03,0.22,218918.03,9.82,0.0
pr1002,8,191321.7,0.28,191321.7,0.72,0.0
pr1002,10,181060.65,0.27,181060.65,0.55,0.0
pr1002,12,175408.24,0.27,175408.24,0.47,0.0
pr1002,14,172961.25,0.24,172961.25,0.44,0.0
pr1002,16,171724.91,0.2,171724.91,0.35,0.0
