name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
brd14051,40,0,97630.7,0.42,4.67,97630.7,1,5.52,0.02,2668,416,427
brd14051,40,1,110671.1,0.36,6.62,110671.1,1387,216.0,2.53,10248,2611,2702
brd14051,40,2,127629.7,0.31,6.4,127629.7,264,63.24,0.52,3855,1096,760
brd14051,40,3,99527.6,0.49,4.14,99527.6,113,38.22,0.33,2666,507,411
brd14051,40,4,123881.8,0.42,4.47,123881.8,93,27.44,0.23,2348,651,361
brd14051,40,5,98329.4,0.45,4.63,98329.4,1,23.21,0.12,2815,511,430
brd14051,40,6,110676.6,0.4,5.53,110676.6,1,47.21,0.26,2905,912,692
brd14051,40,7,103775.5,0.44,2.46,103775.5,1,3.09,0.0,2095,333,329
brd14051,40,8,101387.3,0.42,4.7,101387.3,1,6.36,0.03,2889,622,512
brd14051,40,9,87945.1,0.45,3.23,87945.1,1,4.65,0.01,2728,456,453
d15112,40,0,287734.8,0.5,2.76,287734.8,0,3.42,0.0,2001,383,226
d15112,40,1,256987.1,0.55,2.7,256987.1,0,3.27,0.0,1834,379,197
d15112,40,2,307407.1,0.43,6.1,307407.1,1,7.17,0.03,3029,701,497
d15112,40,3,292602.7,0.43,3.52,292602.7,0,4.13,0.0,2205,411,316
d15112,40,4,299259.0,0.49,3.54,299259.0,1,4.68,0.01,2243,441,343
d15112,40,5,269559.4,0.49,3.64,269559.4,1,5.65,0.05,2292,311,369
d15112,40,6,320989.4,0.43,3.19,320989.4,0,3.64,0.0,2077,257,314
d15112,40,7,287270.7,0.43,5.28,287270.7,1,6.78,0.02,2694,672,463
d15112,40,8,303263.9,0.45,2.84,303263.9,1,3.84,0.01,2438,368,269
d15112,40,9,282412.3,0.45,4.41,282412.3,1,6.2,0.02,2608,483,406
d18512,40,0,108982.1,0.42,3.69,108982.1,1,7.82,0.08,2471,503,380
d18512,40,1,102490.3,0.42,3.79,102490.3,1,9.03,0.05,2702,403,429
d18512,40,2,121904.8,0.41,3.54,121904.8,1,6.19,0.03,2220,449,307
d18512,40,3,111537.3,0.38,5.81,111537.3,1,11.77,0.04,2951,868,488
d18512,40,4,109343.7,0.38,4.51,109343.7,0,4.96,0.0,2724,746,404
d18512,40,5,119095.8,0.42,3.91,119095.8,69,19.43,0.21,2807,443,428
d18512,40,6,106544.9,0.38,3.1,106544.9,0,3.64,0.0,2306,476,317
d18512,40,7,102674.3,0.41,3.86,102674.3,1,5.08,0.02,3003,716,495
d18512,40,8,102622.9,0.4,4.4,102622.9,1,10.9,0.09,3097,649,498
d18512,40,9,92937.5,0.37,2.84,92937.5,0,3.25,0.0,2456,270,290
fnl4461,40,0,63096.0,0.47,3.76,63096.0,97,41.13,0.36,2238,531,392
fnl4461,40,1,66882.6,0.42,4.2,66882.6,1,5.93,0.03,2905,504,403
fnl4461,40,2,70151.4,0.52,6.82,70151.4,468,101.28,1.2,4449,1684,1351
fnl4461,40,3,58843.9,0.49,3.2,58843.9,1,5.09,0.03,2189,377,261
fnl4461,40,4,61654.9,0.43,4.54,61654.9,1,9.82,0.04,2054,474,335
fnl4461,40,5,56144.5,0.46,3.61,56144.5,35,14.06,0.14,2432,311,294
fnl4461,40,6,61274.9,0.39,5.44,61274.9,1,10.3,0.07,3514,676,588
fnl4461,40,7,65698.3,0.47,3.36,65698.3,1,9.61,0.1,2230,466,335
fnl4461,40,8,64260.9,0.43,5.41,64260.9,1,7.35,0.01,2406,409,366
fnl4461,40,9,58717.5,0.43,4.08,58717.5,59,14.59,0.19,2884,578,426
nrw1379,40,0,35655.2,0.43,4.58,35655.2,1,8.41,0.05,2640,417,394
nrw1379,40,1,33000.7,0.47,1.64,33000.7,0,2.13,0.0,1727,126,138
nrw1379,40,2,39928.1,0.45,3.45,39928.1,94,23.54,0.26,2376,411,418
nrw1379,40,3,36685.4,0.47,4.13,36685.4,1,9.8,0.06,2985,452,487
nrw1379,40,4,36168.6,0.44,2.65,36168.6,0,3.39,0.0,1713,227,191
nrw1379,40,5,38005.4,0.48,3.13,38005.4,0,3.76,0.0,1959,275,216
nrw1379,40,6,31837.3,0.48,3.29,31837.3,1,13.36,0.07,2751,457,345
nrw1379,40,7,39394.8,0.39,6.5,39394.8,51,47.17,0.31,3401,831,586
nrw1379,40,8,36674.5,0.39,3.62,36674.5,22,10.14,0.1,2612,478,331
nrw1379,40,9,36447.7,0.46,3.24,36447.7,0,3.72,0.0,2151,350,316
pr1002,40,0,233387.2,0.43,4.54,233387.2,0,5.32,0.0,2762,638,411
pr1002,40,1,218781.4,0.44,4.65,218781.4,412,114.42,1.04,3775,1311,930
pr1002,40,2,211241.7,0.38,3.98,211241.7,0,4.46,0.0,2363,307,346
pr1002,40,3,196120.4,0.37,4.79,196120.4,0,5.44,0.0,2882,653,597
pr1002,40,4,227450.1,0.36,4.37,227450.1,70,19.19,0.2,3095,757,449
pr1002,40,5,194802.2,0.46,3.41,194802.2,0,3.94,0.0,1984,235,261
pr1002,40,6,229730.1,0.43,2.52,229730.1,1,3.41,0.02,2105,302,234
pr1002,40,7,236896.1,0.42,5.72,236896.1,64,83.75,0.59,3592,1221,591
pr1002,40,8,230126.6,0.39,6.58,230126.6,1413,169.24,2.43,7222,3207,1928
pr1002,40,9,192179.9,0.45,2.86,192179.9,0,3.44,0.0,1953,296,243
AVG,,,136805.21833333338,0.43166666666666675,4.139166666666667,136805.21833333338,,22.049666666666667,0.2001666666666666,,,
